"filename", "language", "Shell Script", "C++", "JavaScript", "HTML", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "Makefile", "Markdown", "CSS", "YAML", "comment", "blank", "total"
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\content\index.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\contexts\SocketProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\contexts\index.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 5, 38
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 5, 32
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\pages\CartSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 10, 20, 114
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 3, 7, 113
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\pages\Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 2, 9, 74
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\pages\TrackingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 3, 12, 77
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\pages\index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\stateStore.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 3, 26
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\main.cpp", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 25
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\tests.cpp", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 15
"c:\School Work\Year 2 Semester 2\COS 214 Notes\Project\COS-214-Project\src\tests\colorTest.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 59
"Total", "-", 51, 203, 18, 13, 57, 127, 666, 21, 5, 24, 311, 28, 59, 199, 259, 2041
